date,name
2015-12-09,Chanukah: 4 Candles
2015-12-10,Chanukah: 5 Candles
2015-12-11,Chanukah: 6 Candles
2015-12-12,Chanukah: 7 Candles
2015-12-13,Chanukah: 8 Candles
2016-03-23,Erev Purim
2016-03-24,Purim
2016-04-22,Erev Pesach
2016-04-23,Pesach I
2016-04-24,Pesach II
2016-04-25,Pesach III (CH''M)
2016-04-26,Pesach IV (CH''M)
2016-04-27,Pesach V (CH''M)
2016-04-28,Pesach VI (CH''M)
2016-04-29,Pesach VII
2016-04-30,Pesach VIII
2016-05-05,Yom HaShoah
2016-05-11,Yom HaZikaron
2016-05-12,Yom HaAtzma'ut
2016-06-05,Yom Yerushalayim
2016-06-11,Erev Shavuot
2016-06-12,Shavuot I
2016-06-13,Shavuot II
2016-08-13,Erev Tish'a B'Av
2016-08-14,Tish'a B'Av (observed)
2016-10-02,Erev Rosh Hashana
2016-10-03,Rosh Hashana 5777
2016-10-04,Rosh Hashana II
2016-10-11,Erev Yom Kippur
2016-10-12,Yom Kippur
2016-10-16,Erev Sukkot
2016-10-17,Sukkot I
2016-10-18,Sukkot II
2016-10-19,Sukkot III (CH''M)
2016-10-20,Sukkot IV (CH''M)
2016-10-21,Sukkot V (CH''M)
2016-10-22,Sukkot VI (CH''M)
2016-10-23,Sukkot VII (Hoshana Raba)
2016-10-24,Shmini Atzeret
2016-10-25,Simchat Torah
2016-11-30,Sigd
2016-12-24,Chanukah: 1 Candle
2016-12-25,Chanukah: 2 Candles
2016-12-26,Chanukah: 3 Candles
2016-12-27,Chanukah: 4 Candles
2016-12-28,Chanukah: 5 Candles
2016-12-29,Chanukah: 6 Candles
2016-12-30,Chanukah: 7 Candles
2016-12-31,Chanukah: 8 Candles
2017-03-11,Erev Purim
2017-03-12,Purim
2017-04-06,Yom HaAliyah
2017-04-10,Erev Pesach
2017-04-11,Pesach I
2017-04-12,Pesach II
2017-04-13,Pesach III (CH''M)
2017-04-14,Pesach IV (CH''M)
2017-04-15,Pesach V (CH''M)
2017-04-16,Pesach VI (CH''M)
2017-04-17,Pesach VII
2017-04-18,Pesach VIII
2017-04-24,Yom HaShoah
2017-05-01,Yom HaZikaron
2017-05-02,Yom HaAtzma'ut
2017-05-24,Yom Yerushalayim
2017-05-30,Erev Shavuot
2017-05-31,Shavuot I
2017-06-01,Shavuot II
2017-07-31,Erev Tish'a B'Av
2017-08-01,Tish'a B'Av
2017-09-20,Erev Rosh Hashana
2017-09-21,Rosh Hashana 5778
2017-09-22,Rosh Hashana II
2017-09-29,Erev Yom Kippur
2017-09-30,Yom Kippur
2017-10-04,Erev Sukkot
2017-10-05,Sukkot I
2017-10-06,Sukkot II
2017-10-07,Sukkot III (CH''M)
2017-10-08,Sukkot IV (CH''M)
2017-10-09,Sukkot V (CH''M)
2017-10-10,Sukkot VI (CH''M)
2017-10-11,Sukkot VII (Hoshana Raba)
2017-10-12,Shmini Atzeret
2017-10-13,Simchat Torah
2017-11-18,Sigd
2017-12-12,Chanukah: 1 Candle
2017-12-13,Chanukah: 2 Candles
2017-12-14,Chanukah: 3 Candles
2017-12-15,Chanukah: 4 Candles
2017-12-16,Chanukah: 5 Candles
2017-12-17,Chanukah: 6 Candles
2017-12-18,Chanukah: 7 Candles
2017-12-19,Chanukah: 8 Candles
2018-02-28,Erev Purim
2018-03-01,Purim
2018-03-26,Yom HaAliyah
2018-03-30,Erev Pesach
2018-03-31,Pesach I
2018-04-01,Pesach II
2018-04-02,Pesach III (CH''M)
2018-04-03,Pesach IV (CH''M)
2018-04-04,Pesach V (CH''M)
2018-04-05,Pesach VI (CH''M)
2018-04-06,Pesach VII
2018-04-07,Pesach VIII
2018-04-12,Yom HaShoah
2018-04-18,Yom HaZikaron
